Site,Pages,Templates,Blocks,Unique Pages,Locales,Expert Comment (Migration)
petrobras.com.br,249,14,22,84,"pt, en","Flagship bilingual site — largest scope; 14 shared templates cover the bulk, but 84 bespoke long-form pages drive most of the effort. Highest-priority, longest migration."
transparencia.petrobras.com.br,51,4,7,9,pt,"Clean compliance portal — 4 solid templates (text/cards/embed/accordion) cover 42 of 51 pages. Low-risk, fast migration; watch the tabbed data pages."
agencia.petrobras.com.br,64,3,8,3,pt,"News/agency site — carousel-led with a large news feed; 3 templates cover most pages. Straightforward once the carousel + news-card blocks are built."
canalfornecedor.petrobras.com.br,54,1,8,20,pt,"Supplier portal — highly bespoke; only 1 shared template but 20 unique carousel/tab layouts. Block library is reusable, but expect page-by-page authoring effort."
sustentabilidade.petrobras.com.br,60,1,5,6,pt,"Sustainability report site — dominated by one hero+columns chapter template (54 pages). Very efficient migration; mostly a single repeatable layout."
precos.petrobras.com.br,4,0,7,4,pt,"Tiny fuel-price microsite — 4 pages, no shared template but rich interactive blocks (video, form, carousel). Small but block-heavy; treat as a bespoke mini-build."
nossaenergia.petrobras.com.br,190,3,5,17,pt,"Large editorial/web-stories hub — 3 templates (cards, embed+cards) cover ~173 pages; lean 5-block library. High page count but very repetitive — efficient at scale."
pbio.petrobras.com.br,60,2,5,7,pt,"Subsidiary Portal de Transparência — identical cloned template (see note). Migrate once, rebrand and replicate across all 6 subsidiaries."
pblogsa.petrobras.com.br,60,2,5,9,pt,"Subsidiary Portal de Transparência — identical cloned template (see note). Migrate once, rebrand and replicate across all 6 subsidiaries."
pben.petrobras.com.br,60,2,5,7,pt,"Subsidiary Portal de Transparência — identical cloned template (see note). Migrate once, rebrand and replicate across all 6 subsidiaries."
termoba.com.br (termobahia),60,2,5,7,pt,"Subsidiary Portal de Transparência — identical cloned template (see note). Migrate once, rebrand and replicate across all 6 subsidiaries."
termomacae.petrobras.com.br,60,2,5,8,pt,"Subsidiary Portal de Transparência — identical cloned template (see note). Migrate once, rebrand and replicate across all 6 subsidiaries."
baixadasantistaenergia.petrobras.com.br,60,2,4,3,pt,"Subsidiary Portal de Transparência — identical cloned template (see note). Migrate once, rebrand and replicate across all 6 subsidiaries."
araucarianitrogenados.com.br,60,2,6,8,pt,"Subsidiary Portal de Transparência — identical cloned template (see note). Migrate once, rebrand and replicate across all 6 subsidiaries."
comunicabaciadesantos.petrobras.com.br,138,3,9,11,pt,"Regional communication site — text-content heavy (95 pages) plus hero/tabs sections. Large but repetitive; text-content template does most of the lifting."
comunicaespiritosanto.petrobras.com.br,66,2,8,8,pt,"Regional communication site (sister of Baciadesantos) — same pattern: text-content + hero landing. Straightforward; reuse blocks from comunicabaciadesantos."
,,,,,,
"NOTE — 6 identical subsidiary clones","","","","","","pbio, pblogsa, pben, termobahia (termoba.com.br), termomacae, baixadasantistaenergia and araucarianitrogenados are the SAME Petrobras 'Portal de Transparência' template deployed once per subsidiary with only the logo/company name swapped. All have an identical 60-URL page tree (homepage + /acesso-a-informacao section) mandated by Brazil's Lei das Estatais/LAI — no news feed, no dynamic articles. Build once, rebrand 6x. Minor per-site variance (1-8 text-only pages vs a hero banner) reflects small content differences only, not template differences."
